=== 交易流水帳 (聖盃模式 5.1 雙軌平行版) ===
起始資金: 2,000,000 | 最終價值: 2,029,665
--------------------------------------------------------------------------------
2026-04-02   | 1301   | BUY  | 46.60    | -        |                     
2026-04-02   | 1312   | BUY  | 13.20    | -        |                     
2026-04-08   | 6548   | BUY  | 48.20    | -        |                     
2026-04-13   | 1301   | SELL | 51.40    | 10.3%    | 到期(WASH_OUT_DIP)    
2026-04-13   | 1312   | SELL | 13.50    | 2.3%     | 到期(WASH_OUT_DIP)    
2026-04-13   | 6719   | BUY  | 160.00   | -        |                     
2026-04-15   | 6548   | SELL | 49.70    | 3.1%     | 到期(WASH_OUT_DIP)    
2026-04-20   | 6719   | SELL | 170.00   | 6.2%     | 到期(WASH_OUT_DIP)    
2026-04-28   | 5351   | BUY  | 65.50    | -        |                     
2026-04-28   | 1582   | BUY  | 90.30    | -        |                     
2026-05-06   | 5351   | SELL | 78.50    | 19.8%    | 到期(WASH_OUT_DIP)    
2026-05-06   | 1582   | SELL | 90.60    | 0.3%     | 保本(WASH_OUT_DIP)    
2026-05-11   | 3689   | BUY  | 126.50   | -        |                     
2026-05-12   | 2460   | BUY  | 31.45    | -        |                     
2026-05-15   | 2460   | SELL | 32.00    | 1.7%     | 移動停損(WASH_OUT_DIP)  
2026-05-18   | 3689   | SELL | 117.00   | -7.5%    | 停損(WASH_OUT_DIP)    
2026-05-19   | 3388   | BUY  | 99.00    | -        |                     
2026-05-19   | 2460   | BUY  | 32.30    | -        |                     
2026-05-26   | 3388   | SELL | 100.50   | 1.5%     | 保本(WASH_OUT_DIP)    
2026-05-26   | 2460   | SELL | 32.55    | 0.8%     | 到期(WASH_OUT_DIP)    
2026-05-29   | 6532   | BUY  | 97.40    | -        |                     
2026-06-04   | 1595   | BUY  | 76.90    | -        |                     
2026-06-05   | 6532   | SELL | 96.70    | -0.7%    | 保本(WASH_OUT_DIP)    
2026-06-08   | 1595   | SELL | 68.40    | -11.1%   | 停損(WASH_OUT_DIP)    
2026-06-10   | 1815   | BUY  | 97.10    | -        |                     
2026-06-11   | 1815   | SELL | 90.30    | -7.0%    | 停損(WASH_OUT_DIP)    
2026-06-12   | 3645   | BUY  | 92.70    | -        |                     
